이름,날짜,상대,결과,점수,타순,P,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
라모스,04-04,@NC,W,2:1,2,1B,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.250,0.000,0.250,15,2.04,-1.12,-0.092
라모스,04-07,@KT,L,3:7,4,1B,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.111,0.200,0.111,0.311,6,1.85,-1.07,-0.093
라모스,04-10,SSG,L,3:4,2,1B,1,4,2,3,1,0,1,7,1,0,0,1,0,0,1,0,0,0,0.286,0.375,0.571,0.946,27,1.89,1.94,0.280
라모스,04-13,@키움,L,2:8,2,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190,0.261,0.381,0.642,18,0.50,-1.03,-0.052
라모스,04-15,@키움,W,6:4,4,1B,1,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.241,0.313,0.379,0.692,16,1.17,-1.04,-0.085
라모스,04-17,두산,L,1:3,4,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.216,0.275,0.324,0.599,14,1.18,-0.98,-0.123
라모스,04-20,KIA,L,3:6,2,1B,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.250,0.313,0.364,0.676,17,1.05,0.50,0.097
라모스,04-22,KIA,L,2:3,4,1B,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.235,0.316,0.392,0.708,25,2.05,-0.34,0.015
라모스,04-24,@한화,L,5:19,3,1B,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.220,0.303,0.356,0.659,14,1.16,-1.17,-0.085
라모스,04-27,롯데,W,4:0,4,1B,1,3,1,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0.215,0.311,0.385,0.695,17,0.55,0.62,0.106
라모스,04-29,롯데,W,3:2,4,DH,1,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.219,0.305,0.397,0.702,15,0.96,-0.14,-0.016
라모스,05-01,@삼성,L,2:8,4,DH,1,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.210,0.297,0.370,0.667,21,0.63,-0.20,0.029
라모스,05-05,@두산,W,7:4,5,DH,1,4,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.213,0.300,0.360,0.660,18,0.81,0.11,-0.024
라모스,05-08,한화,W,11:2,5,DH,1,5,1,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0.222,0.300,0.384,0.684,15,0.81,1.94,0.214
라모스,05-09,한화,L,4:5,5,1B,1,5,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.248,0.317,0.394,0.711,16,1.45,-0.16,-0.029
라모스,05-12,@KIA,L,3:5,3,DH,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.231,0.302,0.368,0.670,20,1.57,-1.03,-0.140
라모스,05-15,삼성,W,14:4,7,1B,1,5,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.238,0.304,0.389,0.693,19,0.13,0.19,-0.013
라모스,05-18,NC,W,1:0,6,1B,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.231,0.301,0.377,0.678,18,0.70,-0.29,-0.023
라모스,05-20,NC,L,1:11,5,1B,1,3,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.248,0.313,0.394,0.707,10,0.38,0.66,0.044
라모스,05-22,@SSG,D,:,5,1B,1,4,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.248,0.314,0.407,0.721,17,1.07,-0.72,-0.103
라모스,05-26,@롯데,W,5:3,4,DH,1,4,1,1,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0.248,0.315,0.425,0.740,17,1.66,0.45,0.042
라모스,05-28,키움,W,3:1,5,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0.316,0.419,0.735,19,0.89,-1.03,-0.073
라모스,05-30,키움,W,8:2,5,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.235,0.314,0.404,0.717,15,0.54,-1.26,-0.060
라모스,06-02,KT,W,6:5,9,PH,0,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0.235,0.312,0.412,0.724,2,2.46,0.61,0.128
라모스,06-05,@KIA,W,8:2,6,1B,1,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.230,0.305,0.399,0.703,19,0.53,-0.10,0.068
라모스,06-08,NC,W,2:1,5,1B,1,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.243,0.317,0.422,0.739,17,2.01,0.08,0.014
라모스,04-06,@KT,W,3:2,2,1B,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.143,0.250,0.143,0.393,15,0.64,0.25,0.053
라모스,04-09,SSG,W,9:5,8,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.100,0.182,0.100,0.282,4,0.57,-0.47,-0.015
라모스,04-11,SSG,W,1:0,4,1B,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.235,0.316,0.471,0.786,18,1.48,-0.99,-0.116
라모스,04-14,@키움,W,13:2,2,1B,1,4,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0.240,0.321,0.400,0.721,20,0.40,1.31,0.035
라모스,04-16,두산,W,1:0,2,1B,1,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.242,0.306,0.364,0.669,18,1.06,-0.79,-0.058
라모스,04-18,두산,L,1:9,4,1B,1,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.244,0.295,0.366,0.661,18,0.49,0.22,-0.045
라모스,04-21,KIA,W,7:3,4,1B,1,4,1,1,0,0,1,4,3,0,0,0,0,0,2,0,0,0,0.250,0.308,0.417,0.724,21,1.26,1.69,0.087
라모스,04-23,@한화,W,2:1,3,1B,1,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.232,0.306,0.375,0.681,16,1.09,-0.68,-0.059
라모스,04-25,@한화,W,8:0,4,1B,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.210,0.300,0.339,0.639,19,0.70,0.06,-0.060
라모스,04-28,롯데,L,0:3,4,1B,1,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.217,0.308,0.391,0.699,16,0.88,0.01,-0.003
라모스,04-30,@삼성,L,0:4,4,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.208,0.291,0.377,0.667,17,1.41,-1.43,-0.150
라모스,05-02,@삼성,L,4:6,4,DH,1,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.212,0.295,0.365,0.659,12,1.23,-1.07,-0.090
라모스,05-06,@두산,W,7:2,5,DH,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.213,0.295,0.351,0.646,21,0.19,-0.70,-0.012
라모스,05-09,한화,W,11:1,5,DH,1,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.240,0.313,0.394,0.707,20,0.33,1.02,0.005
라모스,05-11,@KIA,L,1:7,5,DH,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.239,0.306,0.381,0.687,24,1.35,-1.84,-0.144
라모스,05-13,@KIA,W,8:3,6,1B,1,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.240,0.308,0.372,0.680,14,0.79,0.17,0.042
라모스,05-17,삼성,L,1:3,9,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.236,0.302,0.386,0.688,4,0.56,-0.18,-0.014
라모스,05-19,NC,W,6:5,6,1B,1,4,0,2,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0.239,0.306,0.388,0.694,10,0.98,2.42,0.164
라모스,05-21,@SSG,D,:,5,1B,1,4,1,1,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0.248,0.316,0.411,0.727,14,1.02,1.07,0.165
라모스,05-23,@SSG,D,:,5,1B,1,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.248,0.313,0.409,0.722,10,0.35,-0.35,-0.034
라모스,05-27,@롯데,W,8:1,4,DH,1,3,2,1,1,0,0,2,2,0,0,2,0,0,1,0,0,0,0.250,0.324,0.429,0.753,25,0.73,1.63,0.043
라모스,05-29,키움,L,2:7,5,1B,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.241,0.320,0.414,0.734,19,1.57,-0.04,0.018
라모스,06-01,KT,L,1:8,5,1B,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.231,0.309,0.396,0.705,10,0.85,-1.01,-0.091
라모스,06-04,@KIA,L,3:4,5,1B,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.231,0.307,0.405,0.712,9,1.88,-0.84,-0.093
라모스,06-06,@KIA,W,10:0,5,1B,1,3,1,2,0,0,1,5,3,0,0,1,0,0,0,0,0,0,0.238,0.313,0.420,0.733,17,0.73,2.21,0.193
김지찬,04-04,@키움,L,4:7,2,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0.00,0.00,0.000
김지찬,04-08,@두산,W,6:1,1,2B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.02,-0.26,-0.001
김지찬,04-11,KT,W,4:2,9,SS,0,2,0,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0.500,0.600,0.750,1.350,9,0.38,1.05,0.054
김지찬,04-14,한화,L,2:6,1,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.600,0.750,1.350,0,0.00,0.00,0.000
김지찬,04-16,@롯데,L,3:9,6,3B,1,5,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.364,0.462,0.455,0.916,14,0.88,0.35,0.078
김지찬,04-18,@롯데,W,7:0,1,2B,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.350,0.409,0.450,0.859,16,0.55,-1.33,-0.081
김지찬,04-21,SSG,W,14:4,9,SS,1,3,2,2,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0.385,0.467,0.500,0.967,17,0.43,1.94,0.060
