이름,날짜,상대,결과,점수,타순,P,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
황윤호,04-27,@KT,W,8:3,6,PR,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.308,0.308,0.308,0.615,5,0.39,0.06,0.016
황윤호,04-29,@KT,L,3:5,6,3B,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.357,0.357,0.357,0.714,3,0.78,0.85,0.042
황윤호,05-04,NC,L,5:6,4,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0.00,0.00,0.000
황윤호,05-06,NC,W,11:3,2,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0.00,0.00,0.000
황윤호,05-09,두산,L,7:13,7,SS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.294,0.294,0.294,0.588,3,0.09,-0.84,-0.003
황윤호,05-11,@삼성,L,3:8,7,SS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.278,0.278,0.556,4,0.07,-0.18,-0.002
황윤호,05-15,@넥센,W,2:1,9,SS,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.238,0.238,0.238,0.476,11,1.12,-0.68,-0.082
황윤호,05-19,SK,W,2:1,7,SS,1,3,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.292,0.542,12,0.75,0.26,0.044
황윤호,05-23,KT,L,8:9,7,PR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.231,0.269,0.500,1,0.31,0.07,0.010
황윤호,05-25,@NC,W,14:2,2,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.259,0.481,0,0.00,0.00,0.000
황윤호,05-27,@NC,W,12:1,2,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0.214,0.250,0.464,3,0.00,-0.12,0.000
황윤호,05-30,넥센,L,1:6,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.207,0.241,0.448,0,0.00,0.00,0.000
