,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t19,조용호,2021,3,0,0,0,0,1,0,0,1,0,17,1,69,4,5,0.2222222222222222,0.17647058823529413
t1,정은원,2021,4,1,0,0,0,2,0,0,3,0,17,1,95,6,5,0.3684210526315789,0.35294117647058826
t2,정은원,2021,3,0,0,0,0,4,0,1,6,0,17,1,95,5,5,0.3333333333333333,0.17647058823529413
t3,정은원,2021,3,0,0,0,0,4,0,1,3,0,17,2,89,5,5,0.3333333333333333,0.17647058823529413
t4,정은원,2021,1,1,0,0,0,3,0,0,7,0,18,0,97,34,5,0.23809523809523808,0.16666666666666666
t5,정은원,2021,9,2,0,0,0,2,0,0,6,2,21,0,117,7,5,0.52,0.6190476190476191
t6,정은원,2021,5,0,0,0,0,4,0,0,3,0,14,0,88,6,5,0.5,0.35714285714285715
t7,정은원,2021,5,1,1,1,0,3,0,0,1,0,17,0,85,5,5,0.55,0.8235294117647058
t8,정은원,2021,6,0,0,1,0,6,0,1,1,0,15,1,98,3,5,0.6190476190476191,0.6666666666666666
t9,정은원,2021,6,1,0,1,0,3,0,0,5,0,21,1,105,4,5,0.4583333333333333,0.5714285714285714
t10,정은원,2021,6,1,1,1,0,2,0,2,6,0,22,0,111,6,5,0.4583333333333333,0.6818181818181818
t11,정은원,2021,6,0,1,0,0,4,0,0,3,0,18,1,78,5,5,0.5,0.5
t12,정은원,2021,7,2,0,0,0,5,0,0,1,0,18,4,106,7,5,0.6086956521739131,0.6111111111111112
t13,정은원,2021,5,1,1,0,0,2,0,1,5,0,18,1,82,5,5,0.45,0.5555555555555556
t14,정은원,2021,5,2,0,0,0,4,0,0,0,0,18,0,90,4,5,0.5,0.5
t15,정은원,2021,7,0,0,0,0,5,0,0,7,0,21,1,126,6,5,0.46153846153846156,0.3333333333333333
t16,정은원,2021,6,2,1,0,0,5,0,1,3,0,19,2,121,5,5,0.5833333333333334,0.6842105263157895
t17,정은원,2021,5,1,0,0,0,4,0,1,3,0,18,0,112,5,5,0.45454545454545453,0.3888888888888889
t18,정은원,2021,1,0,0,0,0,4,0,0,4,0,14,0,84,4,5,0.2777777777777778,0.07142857142857142
t19,정은원,2021,6,1,0,0,0,5,1,0,4,0,16,0,97,4,5,0.5909090909090909,0.5
t1,박해민,2021,5,1,0,0,0,2,0,1,4,0,21,0,73,5,5,0.34782608695652173,0.3333333333333333
t2,박해민,2021,6,2,0,0,0,1,0,0,4,0,21,2,106,5,5,0.4090909090909091,0.47619047619047616
t3,박해민,2021,2,0,0,0,0,2,0,1,4,0,19,1,93,6,5,0.19047619047619047,0.10526315789473684
t4,박해민,2021,6,1,0,1,1,3,0,0,6,1,17,1,98,34,5,0.5454545454545454,0.7058823529411765
t5,박해민,2021,3,0,0,0,1,4,0,0,3,1,18,4,101,8,5,0.3333333333333333,0.16666666666666666
t6,박해민,2021,7,1,0,0,1,0,0,0,2,1,17,0,74,4,5,0.47368421052631576,0.5294117647058824
t7,박해민,2021,5,2,0,0,0,2,0,0,4,0,18,2,100,6,5,0.45,0.5
t8,박해민,2021,6,1,1,0,0,2,0,0,3,1,19,3,89,4,5,0.45454545454545453,0.5789473684210527
t9,박해민,2021,6,2,0,0,0,2,0,0,4,0,20,0,87,4,5,0.45454545454545453,0.5
t10,박해민,2021,5,1,0,1,0,4,0,0,4,0,18,4,110,10,5,0.5,0.6111111111111112
t11,박해민,2021,4,0,0,1,0,4,0,0,4,0,17,2,107,6,5,0.42857142857142855,0.47058823529411764
t12,박해민,2021,5,1,0,0,0,2,0,0,1,0,16,1,82,6,5,0.4444444444444444,0.4375
t13,박해민,2021,12,3,0,0,0,2,0,0,3,2,20,5,96,5,5,0.7083333333333334,0.9
t14,박해민,2021,4,1,0,0,0,4,1,0,4,0,17,1,95,6,5,0.45454545454545453,0.35294117647058826
t15,박해민,2021,3,0,0,0,0,1,0,0,2,0,14,1,48,4,5,0.26666666666666666,0.21428571428571427
t16,박해민,2021,4,0,0,0,0,3,0,0,4,1,20,1,110,4,5,0.2916666666666667,0.2
t17,박해민,2021,5,1,0,0,0,3,0,0,1,1,17,1,80,5,5,0.42857142857142855,0.4117647058823529
t18,박해민,2021,2,0,0,0,0,3,0,0,2,0,17,1,91,5,5,0.25,0.11764705882352941
t19,박해민,2021,8,1,0,1,0,2,1,0,4,0,19,2,98,5,5,0.5909090909090909,0.7368421052631579
t1,배정대,2021,4,0,0,1,2,1,0,0,4,0,18,1,71,5,5,0.38095238095238093,0.4444444444444444
t2,배정대,2021,6,0,0,0,0,1,0,0,8,0,20,3,79,5,5,0.3333333333333333,0.3
t3,배정대,2021,4,0,0,1,0,1,0,0,3,0,21,0,76,5,5,0.2727272727272727,0.38095238095238093
t4,배정대,2021,3,0,0,0,2,2,0,0,3,0,19,0,77,4,5,0.30434782608695654,0.15789473684210525
t5,배정대,2021,3,1,0,1,0,0,0,0,5,0,19,0,84,7,5,0.2631578947368421,0.47368421052631576
t6,배정대,2021,6,1,0,0,1,0,0,1,2,1,17,0,63,6,5,0.42105263157894735,0.47058823529411764
t7,배정대,2021,6,2,0,1,0,2,0,0,5,0,18,1,87,5,5,0.55,0.7777777777777778
